"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"お 車 代 の 書き方","1","1","210","13","0.00","https://amore.escrit.jp/howto/preparation/825/","9","0.15","0.00","0.08","20","[81,65,81,81,65,65,65,81,81,100,65,81]","2026-07-26","AI overview, Image, Short videos, People also ask","informational","SERP Feature"
"お 車 代 渡し 方","1","1","320","12","0.00","https://amore.escrit.jp/howto/preparation/4893/","0","0","0.00","0.01","117","[67,82,100,100,100,67,82,82,82,67,82,54]","2026-08-12","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"家族 ご 祝儀 相場","1","1","110","17","0.00","https://amore.escrit.jp/howto/preparation/3082/","1","0.01","0.00","0.01","110","[41,41,65,65,53,29,82,53,41,53,100,82]","2026-07-24","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","SERP Feature"
"家族 ご 祝儀 相場","1","1","110","17","0.00","https://amore.escrit.jp/howto/preparation/3082/","14","0.23","0.00","0.01","110","[41,41,65,65,53,29,82,53,41,53,100,82]","2026-07-24","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"ご 祝儀 家族","1","1","480","18","0.00","https://amore.escrit.jp/howto/preparation/3082/","11","0.18","0.00","0.33","112","[67,67,100,100,82,67,82,54,67,54,67,54]","2026-07-25","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"ご 祝儀 家族","1","1","480","18","0.00","https://amore.escrit.jp/howto/preparation/3082/","62","1.05","0.00","0.33","112","[67,67,100,100,82,67,82,54,67,54,67,54]","2026-07-25","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"結婚 式 お金 が ない","1","1","880","17","1.15","https://amore.escrit.jp/wedding/lecritamore-osaka/","57","0.97","65.00","0.41","20","[72,72,88,72,59,88,72,88,100,88,88,88]","2026-07-18","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"結婚 式 お 車 代 渡し 方","1","1","170","10","0.00","https://amore.escrit.jp/howto/preparation/4893/","0","0","0.00","0.03","116","[52,52,100,100,81,52,81,81,81,81,81,52]","2026-08-10","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Related searches","informational","SERP Feature"
"婚約 報告 会社","1","1","320","18","0.12","https://amore.escrit.jp/howto/preparation/1080/","7","0.11","0.00","0.04","112","[100,100,100,82,82,100,100,82,67,67,54,54]","2026-07-25","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"50 代 結婚 式 髪型 ボブ","1","1","880","24","0.00","https://amore.escrit.jp/howto/preparation/3086/","68","1.15","0.00","0.33","84","[55,62,100,81,55,30,55,55,45,45,45,37]","2026-07-26","Sitelinks, Image, Image pack, Video, Short videos, People also ask","informational","SERP Feature"
"会費 制 結婚 パーティー","1","1","1000","15","1.83","https://amore.escrit.jp/howto/fee/2461/","0","0","0.00","0.43","121","[45,68,77,77,77,55,77,77,77,77,100,100]","2026-08-10","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask","informational","SERP Feature"
"100 万 円 結婚 式","1","1","110","15","1.35","https://amore.escrit.jp/howto/wedding-style/low-price/4441/","7","0.11","9.00","0.49","114","[79,79,79,100,79,79,100,79,100,64,64,50]","2026-08-01","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Twitter","informational","SERP Feature"
"ルクリア モーレ 仙台","1","1","170","25","3.04","https://amore.escrit.jp/wedding/lecritamore-sendai/","136","2.31","413.00","0.12","108","[81,67,100,81,81,52,100,100,100,81,81,67]","2026-07-25","Image, Short videos, People also ask, Knowledge panel, Twitter","informational, transactional","Organic"
"親族 結婚 式","1","1","1900","30","1.27","https://amore.escrit.jp/howto/preparation/3078/","85","1.44","107.00","0.21","208","[67,67,79,100,100,79,54,79,67,79,67,79]","2026-07-18","Sitelinks, Image, Image pack, Video, Short videos, People also ask","informational","SERP Feature"
"結婚 式 車 代 親族","1","1","170","14","0.00","https://amore.escrit.jp/howto/preparation/746/","0","0","0.00","0.01","176","[53,66,53,53,44,53,81,100,81,34,53,34]","2026-07-28","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"手作り ウエディング ドレス","1","1","590","14","0.19","https://amore.escrit.jp/howto/preparation/4550/","0","0","0.00","0.18","192","[81,100,100,100,100,81,100,81,81,100,81,100]","2026-08-08","Sitelinks, AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Feature_34","informational","SERP Feature"
"結婚 式 1.5 次 会 ご 祝儀","1","1","110","11","0.57","https://amore.escrit.jp/howto/fee/2463/","14","0.23","7.00","0.04","110","[1,1,1,19,36,100,1,19,1,6,1,1]","2026-07-17","Sitelinks, AI overview, Video","informational","Organic"
"結婚 式 規模","1","1","390","21","1.12","https://amore.escrit.jp/howto/wedding-style/small/1792/","6","0.1","6.00","0.07","112","[67,81,81,81,81,81,100,67,67,67,81,81]","2026-08-20","Sitelinks, Image pack, Video, Short videos, People also ask","informational","SERP Feature"
"ルクリア モーレ さいたま","1","1","210","25","2.81","https://amore.escrit.jp/wedding/lecritamore-saitama/","168","2.86","472.00","0.14","109","[81,81,81,81,100,100,81,81,100,81,100,81]","2026-07-27","Image, Short videos, People also ask, Knowledge panel, Twitter","informational, transactional","Organic"
"結婚 式 夏","1","1","1000","16","0.28","https://amore.escrit.jp/howto/wedding-style/4840/","45","0.76","12.00","0.42","170","[83,100,55,30,9,9,11,20,20,20,30,45]","2026-07-13","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","SERP Feature"
"結婚 式 ご 祝儀 子供 ポチ 袋","1","1","140","15","0.00","https://amore.escrit.jp/howto/preparation/manners/145/","0","0","0.00","0.13","175","[1,4,6,1,15,24,7,1,1,44,100,19]","2026-08-08","Sitelinks, AI overview, Short videos, People also ask","informational","SERP Feature"
"結婚 式 格安","1","1","480","22","1.82","https://amore.escrit.jp/howto/wedding-style/low-price/4706/","1","0.01","1.00","0.69","178","[81,81,81,81,66,66,100,81,81,66,81,54]","2026-07-26","AI overview, Video, Short videos, People also ask, Twitter","informational","SERP Feature"
"神社 挙式","1","1","480","34","1.27","https://amore.escrit.jp/howto/wedding-style/500/","0","0","0.00","0.34","129","[44,82,67,100,54,82,100,82,67,54,67,54]","2026-08-06","AI overview, Image, Image pack, Video, Short videos, People also ask, Local pack","informational","SERP Feature"
"挙式 のみ 費用","1","1","720","21","1.14","https://amore.escrit.jp/howto/wedding-style/ceremony-only/175/","1","0.01","1.00","0.62","107","[82,82,82,100,82,67,100,67,82,67,82,67]","2026-08-12","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Twitter","informational","SERP Feature"
"結婚 式 座席 配置","1","1","260","23","0.59","https://amore.escrit.jp/howto/wedding-style/family/446/","20","0.34","11.00","0.02","102","[13,18,36,36,44,67,67,82,82,100,100,100]","2026-07-10","Image, Image pack, Video, Short videos, People also ask, Twitter","informational","SERP Feature"
"家族 結婚 式 ご 祝儀","1","1","480","15","0.38","https://amore.escrit.jp/howto/preparation/3082/","55","0.93","20.00","0.01","109","[66,100,81,81,54,81,81,100,81,100,81,66]","2026-08-28","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
"家族 結婚 式 ご 祝儀","1","1","480","15","0.38","https://amore.escrit.jp/howto/preparation/3082/","6","0.1","2.00","0.01","109","[66,100,81,81,54,81,81,100,81,100,81,66]","2026-08-28","Sitelinks, AI overview, Video, Short videos, People also ask","informational","SERP Feature"
