"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"cards and pockets","1","1","3600","40","2.12","https://cardsandpockets.com/","2880","6.61","6105.00","1","143","[53,53,66,44,44,53,53,81,81,81,66,53]","2026-08-07","Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational, transactional","Organic"
"template for wedding cards","1","1","9900","73","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","2455","5.63","3584.00","1","193","[66,0,1,36,81,100,54,100,36,66,19,54]","2026-08-10","Sitelinks, Image, Image pack, Video, Short videos, Twitter, Google Flights, Feature_34","informational, transactional","Organic"
"templates for wedding cards","1","1","8100","38","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","2008","4.61","2931.00","1","66300000","[36,0,0,19,44,0,29,54,19,36,10,16]","2026-08-06","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, Twitter, Google Flights, Feature_34","informational","Organic"
"4x9","2","2","18100","16","6.19","https://cardsandpockets.com/printing/upload-your-own/4x9/","1484","3.4","9185.00","0.33","0","[19,10,36,81,81,67,54,67,54,67,54,44]","2026-08-07","Sitelinks, Instant answer, Image, Video, Short videos, Twitter","informational","Organic"
"wedding invitation templates","3","3","14800","57","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","1213","2.78","1770.00","1","197","[66,100,44,66,44,66,44,66,54,44,44,44]","2026-08-09","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Ads bottom, Twitter, Feature_34","commercial","Organic"
"card card stock","2","2","22200","32","0.47","https://cardsandpockets.com/paper/cardstock-paper/","976","2.24","458.00","0.87","208","[10,13,20,13,13,44,81,81,54,54,100,54]","2026-08-09","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"wedding invitation template","1","1","3600","57","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","892","2.04","1302.00","1","205","[29,54,100,29,19,15,13,29,36,19,13,29]","2026-08-09","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Related searches, Twitter, Google Flights, Feature_34","informational, transactional","Organic"
"diy wedding invitations","1","1","3600","27","1.17","https://cardsandpockets.com/wedding/invitations-envelopes/printed-invitation-cards/design-customize-online/diy-invitation-kits/","892","2.04","1043.00","1","111","[44,24,44,100,29,24,29,54,24,24,24,13]","2026-08-09","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask","informational","Organic"
"cardstock","3","3","27100","36","0.47","https://cardsandpockets.com/paper/cardstock-paper/","813","1.86","382.00","0.87","204","[54,66,81,66,66,54,81,81,81,66,66,100]","2026-08-06","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Discussions and forums, Google Flights, Feature_34","commercial, informational","Organic"
"cards and pocket","1","1","1000","39","1.88","https://cardsandpockets.com/","800","1.83","1504.00","1","192","[52,37,37,68,37,46,31,52,100,84,84,68]","2026-07-11","Sitelinks, Video, Video Carousel, Short videos, People also ask, Knowledge panel, Twitter, Feature_34","navigational","Organic"
"wedding invite template","2","2","3600","61","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","475","1.09","693.00","1","205","[19,24,13,16,29,29,10,19,19,19,10,10]","2026-08-09","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Google Flights","informational, transactional","Organic"
"cardsandpockets","1","1","590","40","1.88","https://cardsandpockets.com/","472","1.08","887.00","1","134","[8,8,20,8,13,7,7,16,16,36,16,20]","2026-07-31","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational","Organic"
"5x7 envelopes","3","3","6600","41","1.09","https://cardsandpockets.com/envelopes/blank-envelopes/a7-euro-flap-5-25-x-7-25/","429","0.98","467.00","1","239","[24,24,24,24,24,36,81,44,29,29,36,36]","2026-08-09","Sitelinks, Image, Video, Video Carousel, Short videos, People also ask, Feature_34","commercial","Organic"
"template for wedding invitations","1","1","1600","61","1.60","https://cardsandpockets.com/info/free-wedding-invitation-templates/","396","0.9","633.00","1","191","[66,100,100,54,54,66,66,36,79,41,54,30]","2026-07-21","Sitelinks, Image, Image pack, Video, Short videos, Twitter, Feature_34","commercial","Organic"
"a7 envelopes","1","1","2900","20","1.70","https://cardsandpockets.com/envelopes/blank-envelopes/a7-euro-flap-5-25-x-7-25/","382","0.87","649.00","1","218","[44,53,35,44,35,53,100,44,44,53,66,53]","2026-08-09","Sitelinks, Image, Video, Short videos, People also ask, Twitter, Feature_34","commercial","Organic"
"wedding invitations templates","2","2","2900","61","1.46","https://cardsandpockets.com/info/free-wedding-invitation-templates/","382","0.87","557.00","1","201","[19,29,19,16,24,29,29,66,19,29,44,29]","2026-08-08","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Google Flights, Feature_34","commercial","Organic"
"envelopes 5x7 envelopes","1","1","4400","26","1.09","https://cardsandpockets.com/envelopes/blank-envelopes/a7-euro-flap-5-25-x-7-25/","360","0.82","392.00","1","203","[24,0,5,10,16,29,100,24,36,36,36,24]","2026-08-05","Sitelinks, AI overview, Video, Short videos, Feature_34","commercial, informational","Organic"
"cards and envelopes","1","1","1300","20","1.42","https://cardsandpockets.com/cards/blank-card-envelope-sets/","322","0.73","457.00","1","200","[30,24,13,16,41,54,79,100,54,54,54,54]","2026-06-29","Sitelinks, Video, Short videos, Local pack, Feature_34","commercial","Organic"
"wedding invitation envelopes","2","2","1900","15","1.57","https://cardsandpockets.com/wedding/invitations-envelopes/wedding-envelopes/blank-wedding-envelopes/inner-outer-envelopes/","250","0.57","392.00","1","201","[82,65,100,82,82,65,65,55,82,65,65,65]","2026-08-10","Sitelinks, Image, Image pack, Video, Short videos, Local pack, Feature_34","commercial","Organic"
"wedding envelopes","2","2","1900","12","0.94","https://cardsandpockets.com/wedding/invitations-envelopes/wedding-envelopes/blank-wedding-envelopes/inner-outer-envelopes/","250","0.57","235.00","1","204","[65,65,65,65,65,55,65,82,65,65,65,65]","2026-08-09","Sitelinks, Image pack, Video, Short videos, Local pack, Feature_34","commercial","Organic"
"a7 invitation envelopes","1","1","1900","19","1.37","https://cardsandpockets.com/envelopes/blank-envelopes/a7-euro-flap-5-25-x-7-25/","250","0.57","342.00","0.5","224","[30,36,79,66,100,66,79,79,79,100,79,100]","2026-08-09","Sitelinks, Video, Short videos, Local pack, Twitter, Feature_34","commercial","Organic"
"wedding templates","1","1","1000","40","1.59","https://cardsandpockets.com/info/free-wedding-invitation-templates/","248","0.56","394.00","0.99","199","[62,55,45,81,55,81,62,81,81,55,62,62]","2026-07-23","Sitelinks, Image, Image pack, Video, Short videos, Twitter, Feature_34","informational","Organic"
"envelopes","5","5","27100","45","5.50","https://cardsandpockets.com/envelopes-liners/","243","0.55","1336.00","0.82","225","[24,30,24,24,30,30,54,54,36,66,24,54]","2026-08-09","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Discussions and forums, Local pack, Google Flights, Feature_34","commercial, informational","Organic"
"wedding invitation templates free","1","1","880","42","1.48","https://cardsandpockets.com/info/free-wedding-invitation-templates/","218","0.5","322.00","1","202","[24,30,36,20,30,41,36,66,36,36,36,36]","2026-08-07","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Related searches, Twitter, Google Flights","informational","Organic"
"free wedding stationery templates","1","1","880","41","1.44","https://cardsandpockets.com/info/free-wedding-invitation-templates/","218","0.5","313.00","1","126","[7,8,20,8,4,54,4,4,66,79,79,79]","2026-07-31","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding invitation free layout","2","2","1600","38","1.44","https://cardsandpockets.com/info/free-wedding-invitation-templates/","211","0.48","303.00","1","121","[52,52,2,20,52,36,44,44,36,52,52,52]","2026-07-28","Sitelinks, Video, Short videos, Twitter","informational","Organic"
"blank cards and envelopes","1","1","1600","10","0.63","https://cardsandpockets.com/cards/blank-card-envelope-sets/","211","0.48","132.00","1","230","[66,54,54,54,54,66,79,100,66,54,41,54]","2026-07-19","Sitelinks, Image pack, Video, Short videos, People also ask, Local pack, Feature_34","commercial","Organic"
"wedding invitations diy","2","2","1600","19","1.14","https://cardsandpockets.com/wedding/invitations-envelopes/printed-invitation-cards/design-customize-online/diy-invitation-kits/","211","0.48","240.00","1","166","[16,29,18,100,66,16,5,18,16,8,18,24]","2026-07-27","Sitelinks, Image, Video, Video Carousel, Short videos, People also ask","commercial","Organic"
"envelope liners","3","3","2400","15","0.91","https://cardsandpockets.com/envelopes/envelope-liners/printed-upload-your-own/","196","0.45","178.00","1","198","[52,52,52,52,80,66,66,80,80,100,66,80]","2026-08-09","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Google Flights, Feature_34","commercial","Organic"
"patterned paper","1","1","720","14","0.34","https://cardsandpockets.com/paper/pattern-paper/","178","0.4","60.00","0.9","189","[62,30,45,36,62,62,55,30,45,81,30,36]","2026-07-24","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Google Flights, Feature_34","informational","Organic"
"pocket wedding invitations","1","1","720","8","1.44","https://cardsandpockets.com/pockets/blank-pockets/a7-pockets-5x7/a7-signature/a7-signature-classic/","178","0.4","256.00","1","150","[31,31,37,46,37,37,46,31,52,46,37,37]","2026-07-14","Sitelinks, Image, Image pack, Video, Short videos, Feature_34","commercial","Organic"
"wedding card template","1","1","720","42","1.19","https://cardsandpockets.com/info/free-wedding-invitation-templates/","178","0.4","211.00","0.39","198","[3,3,4,29,8,4,7,3,0,3,3,8]","2026-08-09","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding cards templates","1","1","720","49","1.60","https://cardsandpockets.com/info/free-wedding-invitation-templates/","178","0.4","284.00","1","197","[0,0,29,53,16,0,0,0,0,0,0,44]","2026-07-26","Sitelinks, Image, Video, Video Carousel, Short videos, Knowledge panel, Twitter, Feature_34","informational","Organic"
"swatch mirror","1","1","1300","26","0.00","https://cardsandpockets.com/info/samples/paper-swatches-and-decks/mirror-silver-swatch/","173","0.39","0.00","0.33","190","[66,4,20,66,54,66,66,54,66,79,100,66]","2026-08-03","Sitelinks, Image, Image pack, Video, Short videos","informational, transactional","SERP Feature"
