"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"ビジー ボード","2","2","6600","36","0.05","https://archdays.com/column/2021/08/19/78170","462","1.74","23.00","0.97","202","[82,82,67,67,67,82,55,44,67,82,67,100]","2026-08-12","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"マンスリー カード","3","3","3600","30","0.16","https://archdays.com/column/2021/03/09/70773","324","1.22","51.00","1","192","[66,100,100,82,82,66,66,100,66,66,66,66]","2026-07-07","Sitelinks, Image, Image pack, Short videos, People also ask, Feature_34","commercial","Organic"
"ビジー ボード 手作り","2","2","2400","18","0.00","https://archdays.com/column/2025/05/09/105082","312","1.17","0.00","0.48","163","[100,100,100,100,66,66,55,45,45,66,83,66]","2026-07-08","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos","informational","Organic"
"プロフィール ブック テンプレート","2","2","2400","15","0.45","https://archdays.com/column/2025/09/08/107627","312","1.17","140.00","1","130","[67,81,100,81,81,53,53,67,67,67,53,53]","2026-07-09","Sitelinks, Ads top, Image, Image pack, Video, Short videos, People also ask, Ads middle","informational","Organic"
"ハーフ バースデー 離乳食","4","4","4400","18","0.33","https://archdays.com/column/2021/01/20/67005","308","1.16","101.00","0.3","192","[81,100,81,81,81,81,81,81,81,67,67,54]","2026-07-04","Sitelinks, Image, Video, Video Carousel, Short videos, People also ask, Popular products, Related searches","informational","Organic"
"ハーフ バースデー 離乳食 ケーキ","1","1","590","16","0.00","https://archdays.com/column/2021/01/20/67005","277","1.04","0.00","0.22","190","[55,67,67,67,67,67,82,67,100,82,82,67]","2026-06-27","Sitelinks, Image, Image pack, Video, Short videos, Popular products, Related searches","informational","Organic"
"ハーフ バースデー 文字 ダウンロード 無料","1","1","590","28","0.00","https://archdays.com/column/2020/03/13/55224","277","1.04","0.00","0.02","98","[67,67,67,82,100,67,67,82,82,67,82,55]","2026-07-22","Sitelinks, Image, Image pack, Short videos, People also ask","informational","Organic"
"選び 取り カード 無料","2","2","1900","21","0.00","https://archdays.com/column/2022/03/22/85201","247","0.93","0.00","0.13","105","[100,100,100,100,79,79,67,79,67,67,54,54]","2026-07-08","Sitelinks, Image, Image pack, Video, Short videos","informational","Organic"
"ハロウィン 仮装 子供 アイデア","2","2","1900","22","0.00","https://archdays.com/column/2022/10/06/91139","247","0.93","0.00","0.91","183","[0,1,3,36,100,3,1,1,1,1,1,1]","2026-07-08","Sitelinks, Image, Image pack, Video, Short videos","informational","Organic"
"選び 取り カード","7","7","8100","32","0.11","https://archdays.com/column/2022/03/22/85201","243","0.91","26.00","1","194","[100,100,100,100,82,82,100,67,67,82,82,100]","2026-08-16","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Feature_34","informational","Organic"
