"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"ハート色意味","2","2","90500","26","0.00","https://dressy.pla-cole.wedding/heart-color-means/","6335","2.87","0.00","0.33","121","[81,100,81,81,81,67,67,45,55,45,55,55]","2026-08-18","AI overview, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"ハート の 色 の 意味","2","2","90500","19","0.00","https://dressy.pla-cole.wedding/heart-color-means/","6335","2.87","0.00","0.33","124","[81,100,81,81,81,67,67,45,55,45,55,55]","2026-08-18","AI overview, Video, Video Carousel, Short videos, People also ask, Related searches, Twitter","informational","Organic"
"りくりゅう 結婚","5","5","49500","31","0.00","https://dressy.pla-cole.wedding/figure-skating/","1980","0.89","0.00","0.33","118","[0,0,0,0,0,0,0,1,0,4,100,100]","2026-08-16","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask","informational","Organic"
"工場 直売 所","4","4","33100","22","0.00","https://dressy.pla-cole.wedding/kansai-factory-direct-sales/","1655","0.75","0.00","0.01","136","[45,67,67,55,67,55,67,82,82,100,100,67]","2026-08-18","Sitelinks, Image, Video, Short videos, Local pack","commercial","Organic"
"ウエディング プランナー","3","3","27100","23","1.07","https://pla-cole.wedding/planners","1355","0.61","1449.00","0.15","201","[82,55,67,82,82,67,100,82,67,67,67,82]","2026-08-18","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"平野 歩夢 結婚","5","5","33100","30","0.00","https://dressy.pla-cole.wedding/ayumu_hirano/2/","1324","0.6","0.00","0.33","109","[0,1,0,1,1,5,6,100,1,2,0,0]","2026-08-15","AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"中村 獅童 妻","1","1","8100","39","0.00","https://dressy.pla-cole.wedding/shidonakamura-saori/","1053","0.47","0.00","0.33","97","[6,6,5,13,13,100,16,20,7,3,13,13]","2026-08-17","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"tokio メンバー","6","6","33100","43","0.00","https://dressy.pla-cole.wedding/tokio-member-kekkon/","993","0.45","0.00","0.33","119","[37,25,30,55,100,30,30,30,20,20,30,37]","2026-08-14","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Knowledge panel","informational, transactional","Organic"
"バチェラー5","10","10","110000","41","1.04","https://dressy.pla-cole.wedding/bachelor-japan-wedding/","990","0.44","1029.00","0.01","127","[0,0,1,0,1,1,1,1,5,5,25,100]","2026-08-17","AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"韓国コスメ 現地でしか 買えない 2024","1","1","1900","24","0.00","https://dressy.pla-cole.wedding/korean-cosmetics/","893","0.4","0.00","0.32","99","[0,4,7,6,36,44,67,81,100,100,100,53]","2026-07-07","Sitelinks, AI overview, Video, Short videos","informational","Organic"
"埼玉 方言","1","1","6600","22","0.00","https://dressy.pla-cole.wedding/saitama-hougen-kawaii/2/","858","0.38","0.00","0.33","102","[45,55,67,100,67,55,55,45,45,55,30,30]","2026-08-16","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"新潟 駅前 居酒屋","3","3","12100","36","0.09","https://dressy.pla-cole.wedding/niigata-izakaya/","847","0.38","76.00","0.16","134","[67,67,55,67,67,100,55,55,67,55,55,55]","2026-08-17","Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"婚姻 届 ダウンロード","9","9","33100","48","0.25","https://weddingdress.pla-cole.wedding/c/marriage-certificate","827","0.37","206.00","0.13","106","[100,82,82,82,82,82,100,82,82,67,67,82]","2026-08-17","Sitelinks, AI overview, Image, Short videos, People also ask","informational","Organic"
"横山 裕 結婚","6","6","27100","37","0.00","https://dressy.pla-cole.wedding/super-eight-members-marriage/","813","0.36","0.00","0.33","100","[13,67,100,6,3,20,5,2,4,2,5,3]","2026-08-16","AI overview, Image, Video Carousel, Short videos, People also ask","informational","Organic"
"キャラクター お守り","1","1","1600","19","0.00","https://dressy.pla-cole.wedding/characteromamori/","752","0.34","0.00","0.02","121","[67,67,42,67,67,54,54,100,42,42,67,79]","2026-07-04","Sitelinks, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
