"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"ウェディング パーク","1","1","8100","49","0.91","https://www.weddingpark.net/","6480","1.36","5896.00","0.32","188","[100,100,100,100,100,81,100,100,100,100,100,100]","2026-08-19","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"結婚 お祝い メッセージ","1","1","9900","24","0.01","https://www.weddingpark.net/magazine/3789/","4653","0.98","46.00","0.06","110","[82,100,100,100,82,82,82,67,82,55,55,45]","2026-08-17","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"結婚 指輪","7","7","165000","51","1.55","https://ringraph.weddingpark.net/ranking/3","4125","0.87","6393.00","0.98","206","[82,82,82,82,82,100,100,82,82,82,82,82]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Local pack, Feature_34","informational","Organic"
"結婚 式 メッセージ","1","1","8100","18","0.01","https://www.weddingpark.net/magazine/3789/","3807","0.8","38.00","0.06","118","[82,100,100,82,55,55,67,55,67,45,45,36]","2026-08-17","AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"結婚 メッセージ","1","1","8100","19","0.01","https://www.weddingpark.net/magazine/3789/","3807","0.8","38.00","0.04","111","[100,100,100,100,67,67,67,67,82,55,24,20]","2026-08-17","Image, Image pack, Video, Short videos, People also ask, Twitter","commercial","Organic"
"結婚 指輪 ブランド","2","2","49500","29","0.92","https://ringraph.weddingpark.net/ranking/3","3465","0.73","3187.00","0.98","201","[82,82,82,82,82,100,100,67,82,67,82,82]","2026-08-16","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Feature_34","informational","Organic"
"結婚 指輪 安い","1","1","6600","19","0.81","https://ringraph.weddingpark.net/mrg/pr8","3102","0.65","2512.00","1","172","[100,81,100,81,81,100,100,81,81,81,81,81]","2026-08-18","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"結婚 式場","5","5","90500","42","1.47","https://www.weddingpark.net/","2262","0.47","3325.00","0.37","140","[67,82,82,82,82,67,82,82,82,82,100,82]","2026-08-15","AI overview, Image, Image pack, Video, Short videos, People also ask, Local pack","commercial","Organic"
"ペア リング","8","8","74000","21","0.32","https://ringraph.weddingpark.net/magazine/207","1850","0.39","592.00","0.97","240","[67,67,67,67,82,100,67,55,67,55,67,67]","2026-08-17","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"結婚 式 お祝い メッセージ","1","1","3600","17","0.01","https://www.weddingpark.net/magazine/3789/","1692","0.35","16.00","0.08","174","[55,82,100,100,100,82,66,66,66,82,55,55]","2026-07-07","AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"グラフ 結婚 指輪","5","5","33100","25","0.70","https://ringraph.weddingpark.net/brand/b300131/review?ring_type=1","1655","0.34","1158.00","0.93","90","[82,100,82,82,82,100,100,82,100,100,100,100]","2026-08-17","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter","navigational","Organic"
"グラフ 婚約 指輪","2","2","18100","22","0.01","https://ringraph.weddingpark.net/brand/b300131/review?ring_type=1","1629","0.34","16.00","0.86","181","[67,67,67,55,67,67,82,67,67,67,100,82]","2026-08-18","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"ショーメ","8","8","49500","28","0.39","https://ringraph.weddingpark.net/brand/b300138/review","1485","0.31","579.00","0.6","169","[67,67,82,67,67,82,100,67,67,55,67,45]","2026-08-17","Sitelinks, AI overview, Short videos, People also ask, Twitter","informational","Organic"
