"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"セックス","8","8","673000","70","0.44","https://zexy.net/article/app000001442/","3365","0.12","1480.00","0.01","119","[100,82,82,82,82,82,67,67,82,20,30,37]","2026-08-17","AI overview, Image pack, Video, Video Carousel, People also ask","informational","Organic"
"クイズ","3","3","246000","47","1.00","https://zexy.net/contents/lovenews/article.php?d=20250521","17220","0.63","17220.00","0.33","138","[82,67,100,82,82,100,82,82,82,55,67,67]","2026-08-16","AI overview, Video, Short videos, People also ask","informational","Organic"
"結婚","8","8","165000","46","2.15","https://zexy.net/mar/junbi/","495","0.01","1064.00","0.03","139","[24,20,45,30,24,45,37,20,100,24,24,30]","2026-08-14","Video, Video Carousel, Short videos, People also ask, Top stories","informational","Organic"
"結婚","5","5","165000","46","2.15","https://zexy.net/mar/junbi/","825","0.03","1773.00","0.03","139","[24,20,45,30,24,45,37,20,100,24,24,30]","2026-08-14","Video, Video Carousel, Short videos, People also ask, Top stories","informational","Organic"
"結婚 指輪","8","8","165000","51","1.55","https://zexy.net/mar/manual/ring_info/kiso_chigai_article2.html","2145","0.07","3324.00","0.98","206","[82,82,82,82,82,100,100,82,82,82,82,82]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Local pack, Feature_34","informational","Organic"
"メンヘラ 意味","9","12","135000","29","0.00","https://zexy.net/contents/lovenews/article.php?d=20210120","3375","0.12","0.00","0","119","[55,67,37,25,30,82,100,100,67,100,100,100]","2026-08-18","Sitelinks, AI overview, Short videos, People also ask","informational","Organic"
"出会い","5","5","135000","76","1.29","https://zexy.net/contents/lovenews/article.php?d=20241114","5400","0.19","6966.00","0.14","140","[25,25,37,100,82,82,100,100,100,82,82,82]","2026-08-14","AI overview, Image, Video, Short videos, People also ask, Knowledge panel","informational","Organic"
"ご 祝儀 袋 書き方","2","2","135000","34","0.01","https://zexy.net/mar/manual/guest_gosyugi/chapter2.html","17550","0.64","175.00","0.01","118","[45,45,67,100,82,55,45,67,67,55,82,45]","2026-08-14","Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"カルティエ 結婚 指輪","5","5","110000","37","0.19","https://zexy.net/ring/brand_c/cartier/marriage/","880","0.03","167.00","0.32","0","[81,81,81,67,67,81,100,67,67,67,81,67]","2026-08-14","Sitelinks, Image pack, Video, Short videos, People also ask, Feature_34","navigational, transactional","Organic"
"結婚 指輪 カルティエ","6","6","110000","39","0.19","https://zexy.net/ring/brand_c/cartier/marriage/","660","0.02","125.00","0.32","162","[81,81,81,67,67,81,100,67,67,67,81,67]","2026-08-17","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Feature_34","informational, navigational","Organic"
"結婚 式","4","4","110000","41","1.90","https://zexy.net/wedding/tokyo/","3300","0.12","6270.00","0.2","138","[81,81,81,100,81,67,81,67,81,67,81,67]","2026-08-17","AI overview, Image, Image pack, Video, Short videos, People also ask, Local pack","informational","Organic"
"六 曜 カレンダー","6","6","110000","41","0.34","https://zexy.net/man/rokki/cal/2026/","1100","0.04","374.00","0.02","0","[82,82,100,100,100,100,100,100,100,100,100,100]","2026-08-17","Sitelinks, Video, Short videos","navigational","Organic"
"婚姻 届","2","2","110000","63","0.19","https://zexy.net/mar/manual/registration/marriage.html","9900","0.36","1881.00","0.37","123","[100,82,82,100,100,82,100,82,100,82,100,100]","2026-08-18","AI overview, Image, Video, Short videos, People also ask, Knowledge panel","informational","Organic"
"婚約 指輪","4","4","90500","45","1.80","https://zexy.net/mar/manual/ring_info/kiso_chigai_article2.html","3620","0.13","6516.00","0.98","204","[82,100,100,82,82,100,100,82,82,82,82,82]","2026-08-17","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"ハート色意味","5","5","90500","26","0.00","https://zexy.net/contents/lovenews/article.php?d=20241030","3620","0.13","0.00","0.33","121","[81,100,81,81,81,67,67,45,55,45,55,55]","2026-08-18","AI overview, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"フォト ウェディング","2","2","90500","40","1.01","https://zexy.net/navi/photo_wedding/manual03.html","4525","0.16","4570.00","0.51","146","[67,82,82,82,67,82,100,82,82,67,67,67]","2026-08-16","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Local pack, Ads bottom","informational","Organic"
"東京 會舘","6","6","90500","46","1.98","https://zexy.net/wedding/c_7770078886/","724","0.02","1433.00","0.04","112","[37,55,67,82,67,67,67,100,100,100,82,100]","2026-08-18","Sitelinks, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"エモ いと は","7","7","90500","35","0.00","https://zexy.net/contents/lovenews/article.php?d=20231128","2715","0.1","0.00","0.33","118","[67,100,100,100,67,67,82,67,55,67,82,82]","2026-08-18","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
