"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"年末 ジャンボ いつまで","7","7","74000","45","0.00","https://life.saisoncard.co.jp/post/c1169/","2220","0.95","0.00","0.33","112","[0,0,0,0,2,100,1,0,0,0,0,0]","2026-08-26","AI overview, Video, Short videos, People also ask","informational","Organic"
"line ブロック 確認","8","8","74000","27","0.03","https://life.saisoncard.co.jp/post/c279/","2220","0.95","66.00","0.08","104","[67,82,67,100,55,67,82,67,55,67,82,67]","2026-08-28","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"マイナ ポータル","9","9","450000","77","0.09","https://life.saisoncard.co.jp/post/c840/","2025","0.86","182.00","0.09","0","[20,16,30,55,55,25,20,20,20,16,25,100]","2026-08-27","Sitelinks, Video, Short videos, People also ask","navigational","Organic"
"手相 左手","4","4","27100","27","0.27","https://life.saisoncard.co.jp/post/c956/","1355","0.58","365.00","0.33","113","[82,100,82,82,67,82,100,82,82,67,82,67]","2026-08-30","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"散歩","9","9","49500","43","0.47","https://life.saisoncard.co.jp/post/utr0020/","1237","0.52","581.00","0.33","134","[45,37,55,45,55,45,55,55,67,82,100,45]","2026-08-26","AI overview, Image, Video, Short videos, People also ask, Knowledge panel","informational","Organic"
"手相 見方","5","5","27100","29","0.11","https://life.saisoncard.co.jp/post/c956/","1084","0.46","119.00","0.03","126","[82,82,82,82,82,82,100,82,45,45,55,45]","2026-08-28","Sitelinks, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"オオスズメバチ","1","1","40500","28","0.28","https://life.saisoncard.co.jp/post/c1825/","1012","0.43","283.00","0.01","81","[82,82,100,100,55,20,16,16,20,45,100,82]","2026-08-28","Sitelinks, AI overview, Image, Video, Video Carousel, Short videos, People also ask, Knowledge panel, Related searches","informational","SERP Feature"
"pts","12","12","201000","37","1.99","https://life.saisoncard.co.jp/money/post/gavel33/","1005","0.43","1999.00","0.33","108","[100,100,82,100,82,82,100,100,100,82,100,100]","2026-08-25","AI overview, Video, Short videos, People also ask, Knowledge panel, Twitter","informational","Organic"
"ライン ブロック 確認","6","6","33100","27","0.03","https://life.saisoncard.co.jp/post/c279/","993","0.42","29.00","0.06","124","[82,82,82,100,82,67,67,55,82,82,67,55]","2026-08-29","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"エンジェル ナンバー 2222","8","8","33100","25","0.00","https://life.saisoncard.co.jp/post/c699/","993","0.42","0.00","0","116","[82,82,82,82,82,82,82,82,82,82,82,100]","2026-08-27","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"iphone 写真 バックアップ","1","1","14800","29","0.20","https://life.saisoncard.co.jp/post/c247/","973","0.41","194.00","0.66","109","[100,100,100,100,82,100,100,82,100,82,82,67]","2026-08-26","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","SERP Feature"
"手相 右手","3","3","18100","26","0.21","https://life.saisoncard.co.jp/post/c697/","905","0.38","190.00","0.33","111","[82,100,82,82,82,82,100,67,67,55,67,55]","2026-08-30","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"9999 エンジェル ナンバー","3","3","18100","18","0.00","https://life.saisoncard.co.jp/post/saki18-2/","905","0.38","0.00","0.33","86","[100,100,100,100,82,82,67,67,100,82,82,82]","2026-08-29","Sitelinks, AI overview, Image, Short videos, People also ask","informational","Organic"
"年末 ジャンボ","16","16","301000","57","0.00","https://life.saisoncard.co.jp/post/c1169/","903","0.38","0.00","0.33","135","[0,1,1,2,20,100,16,2,1,1,1,0]","2026-08-28","AI overview, Video, Short videos, People also ask, Knowledge panel","informational","Organic"
"カバラ 数 秘術","2","2","6600","25","0.46","https://life.saisoncard.co.jp/post/c712/","858","0.36","394.00","0.01","104","[81,81,81,67,81,81,100,81,100,81,67,67]","2026-08-24","AI overview, Short videos, People also ask","informational","Organic"
"エンジェル ナンバー 8888","7","7","27100","22","0.00","https://life.saisoncard.co.jp/post/saki16/","813","0.34","0.00","0.33","115","[100,100,100,82,82,82,82,82,82,82,100,82]","2026-08-26","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"神津はづき","4","4","27100","43","0.00","https://life.saisoncard.co.jp/post/yoda15/","813","0.34","0.00","0.33","92","[7,5,4,5,2,2,2,2,100,30,9,5]","2026-08-27","AI overview, Video, Short videos, People also ask, Knowledge panel, Top stories","informational","Organic"
"一粒万倍日 2025","6","6","27100","36","0.02","https://life.saisoncard.co.jp/post/r111/","813","0.34","16.00","0.12","100","[0,0,0,0,1,1,1,2,4,25,100,55]","2026-08-29","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"あったらやばい手相 左手","4","4","14800","27","0.00","https://life.saisoncard.co.jp/post/c956/","740","0.31","0.00","0.33","93","[100,100,100,100,82,82,100,82,67,67,67,55]","2026-08-26","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"保坂 尚輝","1","1","5400","33","0.00","https://life.saisoncard.co.jp/post/shopping_soi/","702","0.3","0.00","0.33","109","[82,82,67,67,67,82,82,67,67,82,100,67]","2026-07-25","Sitelinks, Image, Video, Short videos, People also ask, Knowledge panel","informational, transactional","SERP Feature"
"マイナンバーカード 作らない方がいい理由","2","2","9900","27","0.00","https://life.saisoncard.co.jp/post/c515/","693","0.29","0.00","0","116","[45,24,100,30,16,16,20,13,9,13,6,5]","2026-08-28","AI overview, Video, Short videos, People also ask","informational","Organic"
"8888 エンジェル ナンバー","9","9","27100","25","0.00","https://life.saisoncard.co.jp/post/saki16/","677","0.29","0.00","0.33","104","[100,100,100,82,82,82,82,82,82,82,100,82]","2026-08-26","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"初詣","12","12","135000","41","0.00","https://life.saisoncard.co.jp/post/c1116/","675","0.28","0.00","0.33","130","[1,1,1,2,6,100,100,3,1,1,1,1]","2026-08-28","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"line ブロック され てる か 確認","8","8","22200","25","0.02","https://life.saisoncard.co.jp/post/c279/","666","0.28","13.00","0.09","106","[82,45,45,55,100,37,37,24,67,55,30,37]","2026-08-30","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"2222 エンジェル ナンバー","10","10","74000","26","0.00","https://life.saisoncard.co.jp/post/c699/","666","0.28","0.00","0","118","[82,82,82,82,82,82,82,82,100,100,100,100]","2026-08-26","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
