"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"wedding planning","74","74","1000000","53","2.23","https://loverly.com/planning/wedding-101/wedding-planning-decisions","0","0","0.00","0.51","121","[4,24,2,100,0,0,0,0,0,0,1,1]","2026-08-18","AI overview, Ads top, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter","informational","Organic"
"wedding planning","51","51","1000000","53","2.23","https://loverly.com/planning/wedding-101/simple-wedding-planning-guide","0","0","0.00","0.51","121","[4,24,2,100,0,0,0,0,0,0,1,1]","2026-08-18","AI overview, Ads top, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter","informational","Organic"
"birdy grey","12","12","165000","60","0.67","https://loverly.com/planning/fashion/birdy-grey","231","1.37","154.00","1","0","[44,67,67,67,54,81,54,100,81,54,67,67]","2026-08-17","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"helzberg diamonds","11","11","74000","52","1.32","https://loverly.com/planning/fashion/everything-you-need-to-know-about-helzberg-diamonds","59","0.35","77.00","1","196","[36,36,36,36,44,54,81,44,44,54,54,44]","2026-08-13","Sitelinks, Video, Short videos, People also ask, Local pack, Knowledge panel, Twitter, Feature_34","navigational","Organic"
"wedding venues","24","24","60500","38","1.64","https://loverly.com/planning/wedding-101/best-wedding-venues-in-the-us-2024-2025","42","0.25","68.00","0.23","154","[36,30,82,20,20,16,36,45,36,20,24,20]","2026-08-15","Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter","commercial","Organic"
"james allen","32","32","49500","45","4.86","https://loverly.com/planning/fashion/everything-you-need-to-know-about-james-allen","34","0.2","165.00","0.99","145","[45,55,45,45,55,67,67,36,45,45,36,36]","2026-08-14","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Knowledge panel, Twitter, Google Flights","navigational","Organic"
"wedding planner","41","41","40500","58","2.23","https://loverly.com/vendors/wedding-planner","4","0.02","8.00","0.51","222","[44,100,36,13,30,13,20,16,16,16,13,20]","2026-08-13","AI overview, Ads top, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Feature_34","commercial","Organic"
"wedding planner","9","9","40500","58","2.23","https://loverly.com/planning/wedding-101/hiring-wedding-planner","0","0","0.00","0.51","222","[44,100,36,13,30,13,20,16,16,16,13,20]","2026-08-13","AI overview, Ads top, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Feature_34","commercial","SERP Feature"
"wedding websites","59","59","33100","39","3.17","https://loverly.com/","0","0","0.00","0.46","131","[54,100,54,54,44,44,29,44,44,54,66,54]","2026-08-14","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","commercial","Organic"
"wedding websites","52","52","33100","39","3.17","https://loverly.com/","3","0.01","9.00","0.46","131","[54,100,54,54,44,44,29,44,44,54,66,54]","2026-08-14","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","commercial","Organic"
"wedding wedding planning","83","83","33100","32","2.23","https://loverly.com/planning/wedding-101/simple-wedding-planning-guide","0","0","0.00","0.51","192","[100,0,3,44,20,30,54,100,36,66,44,36]","2026-08-15","AI overview, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"wedding wedding planning","64","64","33100","32","2.23","https://loverly.com/planning/wedding-101/wedding-planning-decisions","0","0","0.00","0.51","192","[100,0,3,44,20,30,54,100,36,66,44,36]","2026-08-15","AI overview, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"wedding planning wedding","83","83","33100","24","2.23","https://loverly.com/planning/wedding-101/simple-wedding-planning-guide","0","0","0.00","0.51","194","[81,0,2,36,16,24,44,81,29,54,36,29]","2026-08-15","Image pack, Video, Short videos, People also ask, Local pack, Ads bottom, Twitter","commercial","Organic"
"wedding planning wedding","54","54","33100","24","2.23","https://loverly.com/planning/wedding-101/wedding-planning-decisions","0","0","0.00","0.51","194","[81,0,2,36,16,24,44,81,29,54,36,29]","2026-08-15","Image pack, Video, Short videos, People also ask, Local pack, Ads bottom, Twitter","commercial","Organic"
"electronic wedding planner","4","4","33100","53","4.32","https://loverly.com/","1456","8.66","6289.00","0.33","194","[81,0,36,36,16,24,44,81,29,54,36,0]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Local pack, Twitter, Feature_34","commercial, informational","Organic"
"electronic wedding planner","1","1","33100","53","4.32","https://loverly.com/","18","0.1","77.00","0.33","194","[81,0,36,36,16,24,44,81,29,54,36,0]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Local pack, Twitter, Feature_34","commercial, informational","SERP Feature"
"blue vale films","55","55","27100","29","0.00","https://loverly.com/vendors/lionvale-films","0","0","0.00","0.33","108","[30,0,2,24,16,30,54,100,66,66,44,36]","2026-08-17","Video, Short videos, People also ask, Knowledge panel, Twitter","informational, transactional","Organic"
"blue vale films","39","39","27100","29","0.00","https://loverly.com/planning/wedding-101/best-wedding-videographers-in-the-us-2024-2025","8","0.04","0.00","0.33","108","[30,0,2,24,16,30,54,100,66,66,44,36]","2026-08-17","Video, Short videos, People also ask, Knowledge panel, Twitter","informational, transactional","Organic"
"black tux","16","16","27100","60","3.01","https://loverly.com/planning/fashion/everything-you-need-to-know-about-the-black-tux","8","0.04","24.00","1","199","[44,54,54,54,54,36,36,54,54,54,54,54]","2026-08-19","Sitelinks, Video, Short videos, People also ask, Local pack, Knowledge panel, Feature_34","navigational","Organic"
"wedding registry","39","39","27100","64","2.06","https://loverly.com/registry","8","0.04","16.00","0.54","200","[44,54,54,44,44,36,36,44,36,44,44,54]","2026-08-14","AI overview, Video, Short videos, People also ask, Discussions and forums, Twitter","commercial, informational","Organic"
"venues wedding venues","14","14","22200","48","1.64","https://loverly.com/planning/wedding-101/best-wedding-venues-in-the-us-2024-2025","66","0.39","108.00","0.23","167","[100,0,2,54,13,0,0,54,24,20,0,0]","2026-08-13","Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"wedding management","40","40","22200","44","2.23","https://loverly.com/vendors/wedding-planner","6","0.03","13.00","0.51","156","[0,0,0,0,0,30,54,100,36,66,44,36]","2026-08-18","Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"wedding management","15","15","22200","44","2.23","https://loverly.com/","33","0.19","73.00","0.51","156","[0,0,0,0,0,30,54,100,36,66,44,36]","2026-08-18","Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"wedding internet sites","16","16","22200","41","3.17","https://loverly.com/","33","0.19","104.00","0.46","132","[36,0,3,36,20,66,54,81,54,100,81,54]","2026-08-17","Sitelinks, AI overview, Ads top, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"maid of honor","33","33","22200","63","1.55","https://loverly.com/planning/wedding-101/maid-of-honor-responsibilities","6","0.03","9.00","0.02","172","[54,66,44,44,44,36,44,44,36,36,36,66]","2026-08-15","AI overview, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights","informational","Organic"
"bridal shower","8","8","22200","47","0.28","https://loverly.com/planning/wedding-101/10-ways-throw-wedding-shower-cheap","0","0","0.00","0.41","196","[10,16,16,13,7,10,7,16,10,16,16,13]","2026-08-14","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Feature_34","informational","SERP Feature"
"honeymoon destinations","62","62","18100","35","1.03","https://loverly.com/planning/travel/best-us-honeymoon-destinations","0","0","0.00","0.4","167","[67,81,67,67,67,44,44,54,44,44,36,36]","2026-08-15","AI overview, Image, Video, Short videos, People also ask, Twitter","informational","Organic"
"photographer wedding photographer","15","15","18100","44","2.44","https://loverly.com/vendors/denver-wedding-photographer","27","0.16","65.00","0.24","160","[36,0,3,36,67,67,67,100,67,81,100,54]","2026-08-15","Image pack, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"maid of honour bridesmaid","51","51","14800","29","1.55","https://loverly.com/planning/wedding-101/maid-of-honor-responsibilities","1","0","1.00","0.02","193","[0,0,5,44,81,81,100,81,66,100,100,100]","2026-08-17","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
