"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"wedding planning","1","1","1000000","34","2.23","https://planning.wedding/","82000","60.98","182860.00","0.51","114","[4,24,2,100,0,0,0,0,0,0,1,1]","2026-08-04","AI overview, Image pack, Video, Short videos, People also ask, Local pack, Related searches, Twitter","informational","Organic"
"wedding planning wedding","1","1","33100","26","2.23","https://planning.wedding/","8208","6.1","18303.00","0.51","193","[81,0,2,36,16,24,44,81,29,54,36,29]","2026-08-08","Image pack, Video, Video Carousel, Short videos, People also ask, Local pack, Ads bottom, Twitter","commercial","Organic"
"wedding planning","1","1","1000000","34","2.23","https://planning.wedding/","3690","2.74","8228.00","0.51","114","[4,24,2,100,0,0,0,0,0,0,1,1]","2026-08-04","AI overview, Image pack, Video, Short videos, People also ask, Local pack, Related searches, Twitter","informational","SERP Feature"
"wedding organiser","1","1","12100","50","2.23","https://planning.wedding/","3000","2.23","6690.00","0.51","204","[0,0,0,0,0,30,54,100,0,0,1,0]","2026-08-06","Sitelinks, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Local pack, Twitter, Feature_34","commercial","Organic"
"electronic wedding planner","2","2","33100","53","4.32","https://planning.wedding/","2714","2.01","11724.00","0.33","198","[81,0,36,36,16,24,44,81,29,54,36,0]","2026-08-09","Sitelinks, AI overview, Video, Short videos, Local pack, Twitter, Feature_34","commercial, informational","Organic"
"wedding planner","1","1","40500","62","2.23","https://planning.wedding/","1782","1.32","3973.00","0.51","55200000","[44,100,36,13,30,13,20,16,16,16,13,20]","2026-08-06","Sitelinks, AI overview, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Google Flights, Feature_34","commercial","Organic"
"seating chart","2","2","12100","55","1.18","https://planning.wedding/seating-chart","1597","1.18","1884.00","1","137","[36,36,81,81,66,44,36,66,44,54,66,54]","2026-08-06","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Twitter, Google Flights","informational","Organic"
"planning wedding planner","1","1","5400","29","2.23","https://planning.wedding/","1339","0.99","2985.00","0.51","204","[0,0,7,100,44,0,2,5,5,7,1,0]","2026-08-06","Sitelinks, Image pack, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"wedding wedding planning","1","1","33100","26","2.23","https://planning.wedding/","1158","0.86","2582.00","0.51","195","[100,0,3,44,20,30,54,100,36,66,44,36]","2026-08-08","AI overview, Video, Video Carousel, Short videos, People also ask, Local pack, Ads bottom, Twitter","commercial","Organic"
"seating chart wedding","1","1","4400","35","1.24","https://planning.wedding/seating-chart","1091","0.81","1352.00","1","204","[54,44,54,54,44,23,15,44,23,23,36,44]","2026-08-06","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Ads bottom, Twitter, Feature_34","commercial","Organic"
